K,case,Liver_Dice,Tumor_Dice,Avg_Dice
inf,Liver_0027,0.9731958919433294,0.8509432953877398,0.9120695936655346
inf,Liver_0029,0.9385573229940538,0.8576321783329292,0.8980947506634915
inf,Liver_0031,0.927752076515369,0.29853993551600305,0.613146006015686
inf,Liver_0054,0.9451150879294499,0.5553284671532847,0.7502217775413673
inf,Liver_0057,0.8521163289683242,0.5590917815327964,0.7056040552505602
inf,Liver_0063,0.9761509388621983,0.7059503177354131,0.8410506282988057
inf,Liver_0071,0.9539220240706807,0.8619951490206167,0.9079585865456488
inf,Liver_0072,0.9434673561951432,0.5666519625093553,0.7550596593522493
inf,Liver_0074,0.9292873090690009,0.40388349514563104,0.666585402107316
inf,Liver_0076,0.960641105857881,0.8156402737047899,0.8881406897813354
inf,Liver_0077,0.959072478906341,0.9047183476325343,0.9318954132694377
inf,Liver_0079,0.9287064048501316,0.7992197976350116,0.8639631012425716
inf,Liver_0080,0.9450426033169753,0.8258887876025525,0.885465695459764
inf,Liver_0082,0.9629492013048306,0.8653719861150202,0.9141605937099254
inf,Liver_0094,0.9631989704911806,0.7964014315043376,0.8798002009977591
inf,Liver_0097,0.9043565292655824,0.6964258044522493,0.8003911668589159
inf,Liver_0099,0.968966703011189,0.9149892898348728,0.9419779964230309
inf,Liver_0100,0.978931470868504,0.7840888729618348,0.8815101719151694
inf,Liver_0101,0.9736331955244925,0.8909134655805633,0.9322733305525279
inf,Liver_0108,0.9016640820708577,0.3050205701387119,0.6033423261047848
inf,Liver_0114,0.9656952646550541,0.6300314537083467,0.7978633591817004
inf,Liver_0115,0.9200072307565684,0.0,0.4600036153782842
inf,Liver_0127,0.9598141853822768,0.403591404180159,0.6817027947812179
inf,Liver_0129,0.9656236247746405,0.6837453224713849,0.8246844736230127
inf,Liver_0131,0.8582635369520788,0.3841951603329514,0.6212293486425151
